"a0","name","category","developer","rating"
"a956","World Conqueror 3","Strategy","EasyTech","4.4"
"a957","Greed for Glory: War Strategy","Strategy","PerBlue Entertainment","4.4"
"a958","World at Arms","Strategy","Gameloft","4.2"
"a959","Vikings - Age of Warlords","Strategy","Elex","4.3"
"a960","Arrow Ambush","Strategy","Zoom Inc","4.7"
"a961","Age of Kingdom : Empire Clash","Strategy","Nut Game","4.0"
"a962","Invasion: Modern Empire","Strategy","tap4fun","4.2"
"a963","This Means WAR!","Strategy","King's Head Games","4.1"
"a964","Castle Clash: Rise of Beasts","Strategy","IGG.COM","4.6"
"a965","Bloons TD 5","Strategy","ninja kiwi","4.6"
"a966","Boom Beach","Strategy","Supercell","4.5"
"a967","Alien Creeps TD","Strategy","Outplay Entertainment Ltd","4.4"
"a968","Alliance Wars: American Empire","Strategy","Mindstorm Studios","4.3"
"a969","Forge of Glory","Role Playing","Kefir!","4.6"
"a970","City of the Undead","Role Playing","OG Limited","4.1"
"a971","WWE Champions Free Puzzle RPG","Role Playing","Scopely","4.3"
"a972","Games for children Cars","Racing","Ex-kabachok","3.8"
"a973","Monkey Preschool Lunchbox","Education","THUP Games","4.4"
"a974","TallyTots Counting","Education","Spinlight","4.6"
"a975","Avokiddo ABC Ride","Education","Avokiddo","4.7"
"a976","Monkey Preschool Explorers","Education","THUP Games","4.5"
"a977","Zanimashki - educational games","Education","Whisper Arts","4.0"
"a978","Kids Connect the Dots (Lite)","Educational","Intellijoy Educational Games for Kids","4.2"
"a979","Kids Preschool Numbers & Math","Educational","Greysprings","4.2"
"a980","Dibo Sing Along Show","Education","BLUEPIN","4.2"
"a981","Doc McStuffins","Entertainment","Disney Publishing Worldwide","4.1"
"a982","Monki Hide & Seek \ud83d\ude48 For Kids","Education","Lingokids - English and Chinese Learning For Kids","4.0"
"a983","Nighty Night - Bedtime Story","Books & Reference","Fox & Sheep","4.4"
"a984","LEGO\u00ae DUPLO\u00ae Animals","Educational","LEGO System A/S","4.0"
"a985","Baby Sleep Instant","Parenting","Urbandroid Team","4.6"
"a986","Talking Pocoyo Premium","Entertainment","Zinkia Entertainment, S.A.","4.1"
"a987","Find Little Dot 1-10 by Lazoo","Education","BabyFirst","4.0"
"a988","PlayKids - Cartoons for Kids","Entertainment","PlayKids Inc","4.1"
"a989","Kids Shapes & Colors Preschool","Educational","Intellijoy Educational Games for Kids","4.1"
"a990","Transformers Rescue Bots: Hero","Adventure","Budge Studios","4.1"
"a991","My Very Hungry Caterpillar","Education","StoryToys","4.1"
"a992","Toca Life: City","Education","Toca Boca","4.4"
"a993","Build and Play 3D - The Sequel","Casual","Croco Studio Games","4.5"
"a994","Sago Mini Monsters","Education","Sago Mini","4.5"
"a995","Legion of Heroes","Role Playing","NEXON Company","4.3"
"a996","Ever After High\u2122 Charmed Style","Casual","Animoca Brands","3.9"
"a997","Rise of Darkness","Role Playing","SuperNova Game","4.4"
"a998","School of Dragons","Role Playing","Knowledge Adventure, Inc.","4.0"
"a999","Darkness Reborn","Role Playing","GAMEVIL","4.3"
"a1000","RPG Toram Online","Role Playing","Asobimo, Inc.","4.4"
"a1001","Khu Vuon Tren May,version 2016","Simulation","VNG Distributor","4.2"
"a1002","Crayola Colorful Creatures","Casual","Budge Studios","3.8"
"a1003","Heidi: best toddler fun games","Educational","TapTapTales","4.1"
"a1004","Z War-Zombie Modern Combat","Strategy","Mountain Lion","4.2"
"a1005","Game of War - Fire Age","Strategy","Machine Zone, Inc.","3.9"
"a1006","Warhammer Quest","Role Playing","Chilled Mouse","4.1"
"a1007","Age of Warring Empire","Role Playing","Elex","4.3"
"a1008","Guardian Hunter: SuperBrawlRPG","Role Playing","Trollgames","4.5"
"a1009","Magic Rush: Heroes","Role Playing","Elex","4.4"
"a1010","KingsRoad","Role Playing","Rumble","4.5"
"a1011","Dungeon Boss","Role Playing","Big Fish Games","4.4"
"a1012","Galaxy Defense (Tower Game)","Strategy","Zonmob Tech., JSC","4.0"
"a1013","Galaxy Control: 3d strategy","Strategy","FX Games Media","4.2"
"a1014","Tentacle Wars \u2122","Strategy","FDG Entertainment GmbH & Co.KG","4.4"
"a1015","Combat Tower Defense","Strategy","iDevMobile Tec.","4.3"
"a1016","Radiant Defense","Strategy","HEXAGE","4.0"
"a1017","STAR WARS\u2122: FORCE COLLECTION","Strategy","KONAMI","3.8"
"a1018","Angry Birds Star Wars","Arcade","Rovio Entertainment Ltd.","4.3"
"a1019","Star Wars\u2122: Commander","Strategy","Disney","4.3"
"a1020","Crashlands","Adventure","Butterscotch Shenanigans","4.8"
"a1021","Star Crusade\u2122 CCG","Card","ZiMAD","4.4"
"a1022","Choice of Robots","Role Playing","Choice of Games LLC","4.8"
"a1023","Star Wars\u2122: KOTOR","Role Playing","Aspyr Media, Inc.","4.5"
"a1024","Clash for Dawn: Guild War","Role Playing","LEDO (HK) CO.,LIMITED.","4.0"
"a1025","Star Traders RPG","Role Playing","Cory Trese","4.3"
"a1026","Galaxy Legend","Role Playing","Tap4fun Corp., Ltd.","4.2"
"a1027","Sago Mini Planes","Educational","Sago Mini","4.8"
"a1028","Zoo Train","Educational","Busy Bee Studios, Inc.","4.3"
"a1029","Train Driver","Education","Yateland","4.5"
"a1030","Build & Play 3D Planes Edition","Puzzle","Croco Studio Games","4.6"
"a1031","Pepi Ride","Education","Pepi Play","4.7"
"a1032","Dr. Panda's Toy Cars","Education","Dr. Panda","4.2"
"a1033","Sago Mini Road Trip","Education","Sago Mini","4.6"
"a1034","Dr. Panda Bus Driver","Education","Dr. Panda","4.1"
"a1035","Reading Phonics Train School","Education","CFC s.r.o.","4.1"
"a1036","BRIO World - Railway","Educational","Filimundus AB","4.4"
"a1037","123 Awesome Park - Numbers","Education","Papumba","4.3"
"a1038","English for Kids","Education","Papumba","4.3"
"a1039","Dr. Panda's Airport","Educational","Dr. Panda","4.2"
"a1040","ABC Toyland - Alphabet","Education","Papumba","4.1"
"a1041","Endless Alphabet","Education","Originator Inc.","4.5"
"a1042","Preschool and Kindergarten","Educational","Kevin Bradford","4.0"
"a1043","Endless Numbers","Education","Originator Inc.","4.3"
"a1044","Educational Game for Children","Educational","Timoth\u00e9e Giet","4.3"
"a1045","Let's Count Animals for Baby","Education","Fisher-Price, Inc.","4.2"
"a1046","Endless Reader","Education","Originator Inc.","4.3"
"a1047","Speakaboos: Kids Reading App","Education","Speakaboos","3.9"
"a1048","Storybook Rhymes Volume 1","Books & Reference","Fisher-Price, Inc.","4.1"
"a1049","Todo Math","Education","Enuma","4.3"
"a1050","Preschool Education Center","Education","Preschool & Kindergarten Learning Kids Games","4.3"
"a1051","Preschool Learning for Kids","Education","Greysprings","4.3"
"a1052","Kids Preschool Puzzles (Lite)","Educational","Intellijoy Educational Games for Kids","4.3"
"a1053","Kids Learn to Read (Lite)","Educational","Intellijoy Educational Games for Kids","4.0"
"a1054","Kids Numbers and Math FREE","Educational","Intellijoy Educational Games for Kids","4.2"
"a1055","Wonster ABC Phonics Spelling","Education","77SPARX Studio, Inc.","4.5"
"a1056","Palace Pets in Whisker Haven","Entertainment","Disney Publishing Worldwide","4.0"
"a1057","Moose Math by Duck Duck Moose","Education","Duck Duck Moose, LLC","4.3"
"a1058","LEGO\u00ae DUPLO\u00ae Food","Educational","LEGO System A/S","3.8"
"a1059","Storybook Rhymes Volume 3","Books & Reference","Fisher-Price, Inc.","4.2"
"a1060","Learn English with Barney","Educational","QB9 Entertainment","4.1"
"a1061","Goodnight Caillou","Educational","Budge Studios","3.9"
"a1062","Animal Sounds","Education","Papumba","4.3"
"a1063","First Words for Baby","Education","Papumba","4.4"
"a1064","Where's Puppy's Nose? for Baby","Education","Fisher-Price, Inc.","4.1"
"a1065","Disney Princess Palace Pets","Entertainment","Disney Publishing Worldwide","3.9"
"a1066","Build and Play 3D","Casual","Croco Studio Games","4.2"
"a1067","Avokiddo Emotions","Education","Avokiddo","4.7"
"a1068","Pango Imaginary Car","Educational","Studio Pango","4.1"
"a1069","Pettson's Inventions Deluxe","Puzzle","Filimundus AB","4.4"
"a1070","Pango Playground","Educational","Studio Pango","4.5"
"a1071","Pango Blocks","Puzzle","Studio Pango","4.1"
"a1072","Sort and Stack","Educational","Croco Studio Games","4.0"
"a1073","My Little Work \u2013 Garage","Casual","Filimundus AB","4.3"
"a1074","Thinkrolls - Logic Puzzles","Education","Avokiddo","4.7"
"a1075","Room on the Broom: Games","Educational","Magic Light Pictures","4.4"
"a1076","Auts","Educational","Takapy Digital Art","4.9"
"a1077","Kids Learn Colors","Educational","Intellijoy Educational Games for Kids","4.1"
"a1078","The fabulous Animal Playground","Educational","Jan Essig: Best Educational Games 4 Toddlers&Kids","4.2"
"a1079","Drawing for Kids and Toddlers.","Education","Bini Bambini","4.8"
"a1080","Kids Tap and Color","Educational","Intellijoy Educational Games for Kids","4.5"
"a1081","Fingerprints","Educational","BabyBus Kids Games","4.0"
"a1082","Color & Draw for kids","Education","Tipitap","4.1"
"a1083","Art Class with Dr. Panda","Education","Dr. Panda","4.0"
"a1084","Nick Jr Draw & Play HD","Education","Nickelodeon","4.2"
"a1085","Downtown Mafia - Gang Wars RPG","Role Playing","DYNAMICNEXT","4.4"
"a1086","Paper Tales Free","Educational","\u0418\u043d\u0442\u0435\u0440\u0430\u043a\u0442\u0438\u0432\u043d\u044b\u0439 \u041c\u0443\u043b\u044c\u0442","4.2"
"a1087","MARVEL Future Fight","Role Playing","Netmarble Games","4.6"
"a1088","Train Builder","Action","Yateland","4.2"
"a1089","Arabic Learning For Kids","Education","Marlu Studio","4.3"
"a1090","Mickey's Color and Play!","Education","Disney Publishing Worldwide","3.9"
"a1091","Preschool Adventures-3","Educational","forqan smart tech","4.1"
"a1092","Kids Draw with Shapes","Educational","Intellijoy Educational Games for Kids","4.7"
"a1093","Little Builders","Entertainment","Fox & Sheep","4.1"
"a1094","Pepi Garage \u2014 Create & Ride","Adventure","Pepi Play","3.9"
"a1095","Cars for Kids Learning Games","Educational","CLEVERBIT","4.3"
"a1096","PINKFONG Car Town","Education","SMARTSTUDY PINKFONG","3.8"
"a1097","Cute Robot Car Racing","Racing","Tiny Lab Productions","3.8"
"a1098","Train Games for Kids: Puzzles","Education","Scott Adelman Apps Inc","3.8"
"a1099","Dr. Panda Toy Cars Free","Education","Dr. Panda","4.3"
"a1100","Funny Cars for Kids","Educational","Hogsmith Games","4.4"
"a1101","Dr. Panda's Christmas Bus","Education","Dr. Panda","4.1"
"a1102","Chuggington: Kids Train Game","Casual","Budge Studios","3.9"
"a1103","Thomas & Friends: Race On!","Casual","Animoca Brands","4.0"
"a1104","Kids Puzzles \u2013 Cars","Educational","Random Game Studio","4.1"
"a1105","LEGO\u00ae DUPLO\u00ae Train","Educational","LEGO System A/S","3.9"
"a1106","Kindergarten Kids Learning","Education","Greysprings","4.3"
"a1107","Toddler Kids Puzzles PUZZINGO","Education","77SPARX Studio, Inc.","4.5"
"a1108","Starfall FREE","Education","Starfall Education Foundation","4.1"
"a1109","Kids Education","Educational","forqan smart tech","4.1"
"a1110","Kids Educational Puzzles","Education","forqan smart tech","4.1"
"a1111","Toddler Preschool Activities","Education","Active Panda","4.0"
"a1112","Shapes & Colors Music Show","Education","Fisher-Price, Inc.","4.1"
"a1113","Preschool Games For Kids","Educational","Queleas","4.3"
"a1114","Peekaboo Kids - Free Kids Game","Education","Tappy Happy kids apps & games for kids","3.8"
"a1115","Strawberry Sweet Shop","Casual","Budge Studios","3.7"
"a1116","Elmo Calls by Sesame Street","Educational","Sesame Workshop","3.9"
"a1117","Kids Animals Jigsaw Puzzles \ud83d\ude04","Educational","App Family","3.9"
"a1118","Nick Jr. - Shows & Games","Entertainment","Nickelodeon","4.0"
"a1119","Kids Balloon Pop Game Free \ud83c\udf88","Casual","App Family","4.0"
"a1120","Savanna - Coloring Games Kids","Educational","MagisterApp - Educational Games for kids","3.9"
"a1121","Dress Up - Professions","Educational","PlayToddlers.","4.3"
"a1122","My Fairytale World","Education","MyFirstApp Ltd. - Learning Games for Kids","4.2"
"a1123","Sago Mini Friends","Education","Sago Mini","4.3"
"a1124","Play Phone for Kids","Education","BabyFirst","4.1"
"a1125","Happy Daycare Stories","Education","PlayToddlers.","4.0"
"a1126","Pooza - FREE Puzzles for Kids","Education","ImagiRation LLC","4.5"
"a1127","\ud83d\udc76 Build it Up \ud83d\udc76","Education","MyFirstApp Ltd. - Learning Games for Kids","4.0"
"a1128","Oh! The magic drawing app","Educational","ludocube.fr","4.6"
"a1129","Kids doodle games for toddlers","Educational","Bimi Boo Kids - Games for boys and girls LLC","4.2"
"a1130","Magic Coloring Picture Book","Education","BabyFirst","3.9"
"a1131","Sparkling Color Book For Kids","Entertainment","TegTap","4.0"
"a1132","Drawing for Kids and Toddlers","Educational","Bini Bambini","4.7"
"a1133","Coloring book for kids","Educational","Bimi Boo Kids - Games for boys and girls LLC","4.2"
"a1134","Kids Coloring World","Education","Papumba","4.2"
"a1135","Dino Puzzle Games for Kids","Puzzle","Tiltan Games","4.0"
"a1136","Kids Coloring Book","Education","kidsplaylearninggames.com","4.4"
"a1137","Toddler Paint and Draw","Casual","ToddlerTap","4.1"
"a1138","Caillou learning for kids","Educational","TapTapTales","3.7"
"a1139","Kids painting & coloring game","Educational","AppQuiz","4.1"
"a1140","Dinosaur Train A to Z","Education","PBS KIDS","3.8"
"a1141","Daniel Tiger Grr-ific Feelings","Education","PBS KIDS","4.0"
"a1142","Peg + Cat Big Gig by PBS KIDS","Education","PBS KIDS","4.1"
"a1143","Daniel Tiger's Neighborhood","Education","PBS KIDS","4.1"
"a1144","Wild Kratts Baby Buddies","Educational","PBS KIDS","3.7"
"a1145","Cookie Monster's Challenge","Educational","PBS KIDS","3.8"
"a1146","Explore Daniel's Neighborhood","Educational","PBS KIDS","3.6"
"a1147","Daniel Tiger's Stop & Go Potty","Educational","PBS KIDS","3.7"
"a1148","Super Why! ABC Adventures","Educational","PBS KIDS","3.7"
"a1149","Nature Cat's Great Outdoors","Education","PBS KIDS","4.2"
"a1150","Dinosaur Train Jurassic Junior","Educational","PBS KIDS","4.0"
"a1151","PBS KIDS Video","Education","PBS KIDS","4.2"
"a1152","ABCmouse.com","Education","Age of Learning, Inc.","4.3"
"a1153","Super Why! Phonics Fair","Educational","PBS KIDS","3.5"
"a1154","PBS KIDS Photo Factory","Photography","PBS KIDS","4.0"
"a1155","PBS KIDS Party","Entertainment","PBS KIDS","3.8"
"a1156","Ready Jet Go! Space Explorer","Educational","PBS KIDS","4.1"
"a1157","Preschool Adventures-1","Education","forqan smart tech","4.2"
"a1158","ScratchJr","Education","Scratch Foundation","4.3"
"a1159","Strawberry Shortcake Food Fair","Casual","Budge Studios","4.0"
"a1160","Strawberry Shortcake Dreams","Casual","Budge Studios","4.1"
"a1161","Strawberry Shortcake Garden","Casual","Budge Studios","4.1"
"a1162","Strawberry Shortcake Lockets","Casual","Budge Studios","4.0"
"a1163","Barbie Magical Fashion","Casual","Budge Studios","3.9"
"a1164","Kids Tap and Color (Lite)","Educational","Intellijoy Educational Games for Kids","3.8"
"a1165","Kid Coloring, Kid Paint","Education","DIVMOB Kid","3.8"
"a1166","Doodle Coloring Book","Casual","Bubadu","3.7"
"a1167","Kids Painting (Lite)","Educational","Intellijoy Educational Games for Kids","3.9"
"a1168","Hello Kitty Lunchbox","Casual","Budge Studios","4.0"
"a1169","Disney Creativity Studio 2","Entertainment","Disney Publishing Worldwide","3.7"
"a1170","Princess Horse Club","Educational","TutoTOONS","3.8"
"a1171","Strawberry Shortcake Hair","Casual","Budge Studios","4.3"
"a1172","Disney Color and Play","Entertainment","Disney Publishing Worldwide","3.5"
"a1173","Castle Blocks","Educational","muse","4.2"
"a1174","Kids Draw with Shapes Lite","Educational","Intellijoy Educational Games for Kids","3.7"
"a1175","Thomas & Friends: Delivery","Casual","Budge Studios","4.1"
"a1176","Thomas & Friends: Magic Tracks","Adventure","Budge Studios","4.2"
"a1177","Lola's Alphabet Train ABC Game","Educational","BeiZ","3.9"
"a1178","Build A Truck -Duck Duck Moose","Educational","Duck Duck Moose, LLC","4.2"
"a1179","Chuggington Ready to Build","Casual","Budge Studios","3.8"
"a1180","Planes: Fire & Rescue","Books & Reference","Disney Publishing Worldwide","4.0"
"a1181","Dinosaur Rescue: Trucks","Adventure","Yateland","4.2"
"a1182","Puzzle Cars for kids 2","Educational","star box","4.2"
"a1183","Trucks by Duck Duck Moose","Educational","Duck Duck Moose, LLC","4.0"
"a1184","Train Driver - Driving games","Education","Yateland","4.0"
"a1185","Amazing Car Wash For Kids FREE","Educational","McPeppergames","4.2"
"a1186","More Trucks by Duck Duck Moose","Educational","Duck Duck Moose, LLC","4.1"
"a1187","Thomas & Friends: Go Go Thomas","Racing","Budge Studios","4.0"
"a1188","ABC Kids - Tracing & Phonics","Educational","RV AppStudios","4.4"
"a1189","YouTube Kids","Entertainment","Google Inc.","4.4"
"a1190","Draw Something","Word","OMGPOP","4.0"
"a1191","Spaceteam","Word","Henry Smith","4.4"
"a1192","Charades!","Word","FatChicken Studios","4.2"
"a1193","Draw Something Classic","Word","OMGPOP","4.2"
"a1194","Ruzzle","Word","MAG Interactive","4.4"
"a1195","Word Streak:Words With Friends","Word","Zynga","4.5"
"a1196","94 Seconds: category word game","Trivia","Scimob","4.3"
"a1197","The Room Two","Puzzle","Fireproof Games","4.9"
"a1198","5 Seconds!","Word","Second Gear Games","4.4"
"a1199","FRAMED","Puzzle","Noodlecake Studios Inc","4.3"
"a1200","Hitman GO","Puzzle","SQUARE ENIX Ltd","4.5"
"a1201","Monument Valley","Puzzle","ustwo games","4.7"
"a1202","The Secret Society\u00ae","Adventure","G5 Entertainment","4.3"
"a1203","Magic: Puzzle Quest","Role Playing","D3 Go!","4.3"
"a1204","Where's My Perry?","Puzzle","Disney","4.6"
"a1205","8 Ball Pool","Sports","Miniclip.com","4.5"
"a1206","FootLOL: Crazy Soccer","Sports","HeroCraft Ltd","4.3"
"a1207","Archery King","Sports","Miniclip.com","4.5"
"a1208","Mini Golf Center","Sports","Enjoysports","4.1"
"a1209","Archery Tournament","Sports","BreakYao","4.1"
"a1210","Live Cricket Game Ind vs Aus","Sports","Shield Apps 2016","4.2"
"a1211","UEFA Champions League Fantasy","Sports","UEFA","3.8"
"a1212","Amazing Run 3D","Sports","Words Mobile","3.9"
"a1213","Head Basketball","Sports","D&D Dream","4.4"
"a1214","Punch Hero","Sports","GAMEVIL Inc.","4.4"
"a1215","\u0644\u0639\u0628\u0629 \u0627\u0644\u0645\u0635\u064a\u062f\u0629","Trivia","BasmalaSOFT","4.2"
"a1216","Grinta Fantasy Football","Sports","Zee Entertainment Enterprises Limited","4.3"
"a1217","SuperSoccer TV","Sports","ARM Enterprises","4.0"
"a1218","Ducati Challenge","Sports","Digital Tales S.r.l.","4.2"
"a1219","Archery Master 3D","Sports","TerranDroid","4.2"
"a1220","Russian Billiard Pool","Sports","M-Games","4.0"
"a1221","Gran DT","Sports","AGEA MOBILE","3.8"
"a1222","Football Pro 2","Sports","Enjoysports","4.0"
"a1223","New World:Paradise Fortune Bay","Adventure","Rockyou Inc.","4.6"
"a1224","Green Farm 3","Casual","Gameloft","4.2"
"a1225","Township","Casual","Playrix Games","4.6"
"a1226","Hotel Transylvania 2","Casual","Reliance Big Entertainment (UK) Private Limited","4.1"
"a1227","UFB 2 - Ultra Fighting Bros","Sports","Tapps Games","4.1"
"a1228","BeManager","Sports","BeSoccer Apps","4.2"
"a1229","Stick Cricket","Sports","Stick Sports Ltd","4.3"
"a1230","Ace of Tennis","Sports","mobirix","4.1"
"a1231","Ice Rage: Hockey Free","Sports","HeroCraft Ltd","4.1"
"a1232","Fishing Mania 3D","Sports","Candy Mobile","4.2"
"a1233","Air Hockey Ultimate","Sports","Fat Bat Studio","3.9"
"a1234","Bowling King","Sports","Miniclip.com","4.6"
"a1235","All Star Quarterback 15","Sports","Full Fat","4.0"
"a1236","Horse Haven World Adventures","Casual","Ubisoft Entertainment","4.3"
"a1237","FarmVille 2: Country Escape","Casual","Zynga","4.2"
"a1238","Happy Street","Casual","Godzilab Inc","4.5"
"a1239","Westbound: Frontierville West!","Adventure","Rockyou Inc.","4.3"
"a1240","Hay Day","Casual","Supercell","4.4"
"a1241","\u041c\u0438\u043b\u043b\u0438\u043e\u043d\u0435\u0440 2017 - \u041d\u043e\u0432\u044b\u0439!","Trivia","Anprom","4.3"
"a1242","\u0627\u0644\u063a\u0627\u0632 - \u0627\u0644\u0623\u0644\u063a\u0627\u0632 \u0635\u0639\u0628\u0629 \u0648\u062d\u0644\u0648\u0644","Trivia","KaizenDev","4.6"
"a1243","Super Stickman Golf 2","Sports","Noodlecake Studios Inc","4.2"
"a1244","King of the Course Golf","Sports","ELECTRONIC ARTS","4.0"
"a1245","Flick Shoot 2","Sports","MobileCraft","4.5"
"a1246","Archery Tournament","Sports","Fat Bat Studio","3.8"
"a1247","Goofball Goals Soccer Game 3D","Sports","gravitysensation","3.4"
"a1248","Pool Ball King","Sports","WEDO1.COM LTD","3.9"
"a1249","Basketball Showdown","Sports","Naquatic LLC","4.1"
"a1250","TAP SPORTS BASEBALL","Sports","Glu","3.9"
"a1251","Golf Star\u2122","Sports","Com2uS USA","4.3"
"a1252","PBA\u00ae Bowling Challenge","Sports","Concrete Software, Inc.","4.3"
"a1253","Top Farm","Simulation","MP Force","4.2"
"a1254","City Island \u2122: Builder Tycoon","Simulation","Sparkling Society \u2122","4.2"
"a1255","Pocket Politics","Simulation","Kongregate","4.1"
"a1256","City Island 2 - Building Story","Simulation","Sparkling Society \u2122","4.1"
"a1257","Paradise Island 2: Hotel Game","Simulation","Game Insight","4.3"
"a1258","Transport Empire: Steam Tycoon","Simulation","Game Insight","4.1"
"a1259","Dream City: Metropolis","Simulation","Storm8 Studios","4.3"
"a1260","Hollywood U: Rising Stars","Simulation","Pixelberry","4.2"
"a1261","My Singing Monsters","Simulation","Big Blue Bubble","4.5"
"a1262","Dragons: Rise of Berk","Simulation","Ludia Inc.","4.2"
"a1263","High School Story","Simulation","Pixelberry","4.2"
"a1264","MOTO LOKO HD","Racing","Foose Games","3.8"
"a1265","Rally Racer Drift","Racing","VO DIGITAL ARTS","3.9"
"a1266","Skull Island: Reef Bay Isle!","Adventure","Rockyou Inc.","4.4"
"a1267","Tiny Tower","Simulation","NimbleBit LLC","4.5"
"a1268","AdVenture Capitalist","Simulation","Kongregate","4.5"
"a1269","100 \u043a 1 - \u0432\u0438\u043a\u0442\u043e\u0440\u0438\u043d\u0430 \u0441 \u0434\u0440\u0443\u0437\u044c\u044f\u043c\u0438","Trivia","Intersol LLC","3.6"
"a1270","Alphabet Game","Trivia","develUp Games","4.3"
"a1271","Flip Diving","Sports","Miniclip.com","4.5"
"a1272","\ucef4\ud22c\uc2a4\ud504\ub85c\uc57c\uad6c for \ub9e4\ub2c8\uc800 LIVE 2017","Sports","Com2uS USA","4.4"
"a1273","UFB - Ultra Fighting Bros","Sports","Tapps Games","4.0"
"a1274","Online Head Ball","Sports","Masomo Gaming","4.5"
"a1275","NBA Flip - Official game","Sports","FROM THE BENCH","4.0"
"a1276","La Liga Fantasy MARCA -Manager","Sports","Liga de F\u00fatbol Profesional","3.7"
"a1277","Quizduell","Trivia","FEO Media AB","4.1"
"a1278","\u0421\u0432\u043e\u044f \u0418\u0433\u0440\u0430 \u25b6","Trivia","K17 Games","4.1"
"a1279","\u0418\u043d\u0442\u0435\u043b\u043b\u0435\u043a\u0442-\u0431\u0430\u0442\u0442\u043b","Trivia","altergames.ru","4.7"
"a1280","\u0422\u0435\u0441\u0442 \u043f\u043e \u0440\u0443\u0441\u0441\u043a\u043e\u043c\u0443 \u044f\u0437\u044b\u043a\u0443","Trivia","Anprom","4.0"
"a1281","Tahadi Wasla - \u062a\u062d\u062f\u064a \u0648\u0635\u0644\u0629","Trivia","SAYOO","4.7"
"a1282","Saif Almarifa","Trivia","THX Games Zrt.","4.5"
"a1283","\u0413\u0435\u043e\u0433\u0440\u0430\u0444\u0438\u044f","Trivia","Andrey Golovin","4.0"
"a1284","\u0421\u0431\u043e\u0440\u043d\u0438\u043a \u043b\u043e\u0433\u0438\u0447\u0435\u0441\u043a\u0438\u0445 \u0437\u0430\u0434\u0430\u0447\u0435\u043a","Trivia","S4nchez","4.3"
"a1285","Where Logic?","Trivia","Open App Holdings","4.5"
"a1286","Zgadnij co to 2","Trivia","Simplicity Games","4.8"
"a1287","Analizame! (Tests Divertidos)","Trivia","Peoresnada.com","4.4"
"a1288","Ace Fishing: Wild Catch","Sports","Com2uS USA","4.3"
"a1289","Fishing Paradise 3D Free+","Sports","Pro Media Now Inc","4.1"
"a1290","WGT Golf Game by Topgolf","Sports","WGT","4.2"
"a1291","Real Skate 3D","Sports","CanadaDroid","4.0"
"a1292","Ultimate Soccer - Football","Sports","Mouse Games","4.0"
"a1293","Fallout Shelter","Simulation","Bethesda Softworks LLC","4.5"
"a1294","SimCity BuildIt","Simulation","ELECTRONIC ARTS","4.4"
"a1295","Episode - Choose Your Story","Simulation","Episode Interactive","4.2"
"a1296","The Sims\u2122 FreePlay","Simulation","ELECTRONIC ARTS","4.3"
"a1297","Rapala Fishing - Daily Catch","Sports","Concrete Software, Inc.","4.2"
"a1298","TrainStation - Game On Rails","Simulation","Pixel Federation","4.2"
"a1299","Jurassic World\u2122: The Game","Simulation","Ludia Inc.","4.1"
"a1300","Shop Heroes","Simulation","cloudcade inc.","4.3"
"a1301","PlanetCraft","Simulation","Playlabs, LLC","4.1"
"a1302","MovieStarPlanet","Simulation","MovieStarPlanet ApS","4.2"
"a1303","Punch Boxing 3D","Sports","CanadaDroid","4.3"
"a1304","Shift Racing 3D","Sports","ZTASTAR GAMES","4.0"
"a1305","Drive Ahead! Sports","Sports","Dodreams Ltd.","4.3"
"a1306","Bus Simulator 2017","Simulation","Florentina K\u00fcster","3.8"
"a1307","Dragon City","Simulation","Social Point","4.5"
"a1308","Hunting Safari 3D","Sports","Italy Games","4.2"
"a1309","Real Boxing","Sports","Vivid Games S.A.","4.2"
"a1310","New KBC 2017 : Quiz Game","Trivia","mvCreator","4.3"
"a1311","Millionaire Quiz: Be Rich Free","Trivia","Kochergin Max","4.3"
"a1312","Quiz of Kings","Trivia","Elyas Nadali","4.2"
"a1313","TTS Lontong","Trivia","Gambir Game Studio","4.5"
"a1314","Honfoglal\u00f3","Trivia","THX Games Zrt.","4.2"
"a1315","Nope Quiz","Trivia","LA GAMERIE","4.7"
"a1316","\u0635\u062d \u0623\u0645 \u062e\u0637\u0623 - \u0623\u0644\u063a\u0627\u0632 \u0648\u0645\u0633\u0627\u0628\u0642\u0627\u062a","Trivia","YESmartApps","3.9"
"a1317","Habla Ingl\u00e9s con 1100 palabras","Trivia","rdn89","4.4"
"a1318","True or False - New version","Trivia","Aleksey Gubskiy","4.1"
"a1319","96% Quiz","Trivia","Rino Apps Ltd.","4.5"
"a1320","Adivina la palabra correcta","Trivia","Potencialmente interesante","4.1"
"a1321","Yeni Milyoner 2017","Trivia","Mobilla LLC","4.3"
"a1322","Monster Legends - RPG","Simulation","Social Point","4.5"
"a1323","Bubble Cat 2","Casual","Dream Club","4.2"
"a1324","Angry Birds POP Bubble Shooter","Casual","Rovio Entertainment Ltd.","4.5"
"a1325","Bubble Monkey Xmas","Arcade","PlayScape","4.3"
"a1326","Bubble Shoot Pet","Casual","DroidHen","4.2"
"a1327","\u041d\u043e\u0432\u044b\u0439 \u041c\u0438\u043b\u043b\u0438\u043e\u043d\u0435\u0440 2017","Trivia","Mobilla LLC","4.0"
"a1328","Jurassic Park\u2122 Builder","Simulation","Ludia Inc.","4.2"
"a1329","UFB 3 - Ultra Fighting Bros","Sports","Tapps Games","4.4"
