,_id,ltable_ID,rtable_ID,ltable_name,ltable_category,ltable_developer,ltable_rating,rtable_name,rtable_category,rtable_developer,rtable_rating,label
4399,4399,a2646,b376,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Slots Heaven - FREE Slot Machine Game,Lifestyle,Super Lucky Casino Inc.,4.50325,0
4400,4400,a2648,b376,Slot Machine,Casino,LinkDesks Inc.,4.6,Slots Heaven - FREE Slot Machine Game,Lifestyle,Super Lucky Casino Inc.,4.50325,0
4408,4408,a2712,b376,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,Slots Heaven - FREE Slot Machine Game,Lifestyle,Super Lucky Casino Inc.,4.50325,0
4417,4417,a2745,b376,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Slots Heaven - FREE Slot Machine Game,Lifestyle,Super Lucky Casino Inc.,4.50325,0
4426,4426,a2705,b377,Bingo Rush 2,Casino,Playtika Santa Monica,4.2,Bingo Rush 2,Entertainment,"Playtika Santa Monica, LLC",3.8,1
4438,4438,a2495,b380,Dice With Buddies\u2122,Board,Scopely,4.3,Dice With Buddies Free: Fun New Social Dice Game,Board,Scopely,4.13228,0
4443,4443,a2718,b380,Dice With Buddies\u2122 Free,Board,Scopely,4.4,Dice With Buddies Free: Fun New Social Dice Game,Board,Scopely,4.13228,0
4446,4446,a2791,b380,YAHTZEE\u00ae With Buddies - Dice!,Board,Scopely,4.2,Dice With Buddies Free: Fun New Social Dice Game,Board,Scopely,4.13228,0
4467,4467,a2495,b381,Dice With Buddies\u2122,Board,Scopely,4.3,YAHTZEE With Buddies: The Classic Dice Game Free,Board,Scopely,3.99086,0
4475,4475,a2718,b381,Dice With Buddies\u2122 Free,Board,Scopely,4.4,YAHTZEE With Buddies: The Classic Dice Game Free,Board,Scopely,3.99086,0
4477,4477,a2791,b381,YAHTZEE\u00ae With Buddies - Dice!,Board,Scopely,4.2,YAHTZEE With Buddies: The Classic Dice Game Free,Board,Scopely,3.99086,0
4538,4538,a2646,b386,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Slots Favorites: Play Slot Machines Free,Card,Super Lucky Casino Inc.,4.82517,0
4544,4544,a2712,b386,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,Slots Favorites: Play Slot Machines Free,Card,Super Lucky Casino Inc.,4.82517,0
4552,4552,a2745,b386,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Slots Favorites: Play Slot Machines Free,Card,Super Lucky Casino Inc.,4.82517,0
4589,4589,a2656,b388,TX Poker - Texas Holdem Poker,Card,Murka Ltd.,4.4,TX Poker - Texas Holdem Free Casino,Card,Murka Entertainment Limited,4,0
4613,4613,a2741,b388,Scatter Slots: Free Fun Casino,Casino,Murka Ltd.,4.6,TX Poker - Texas Holdem Free Casino,Card,Murka Entertainment Limited,4,0
4621,4621,a2646,b389,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,VIP Deluxe Slots Machines Free - Slot Games in HD,Casino,Super Lucky Casino Inc.,4.89163,0
4629,4629,a2712,b389,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,VIP Deluxe Slots Machines Free - Slot Games in HD,Casino,Super Lucky Casino Inc.,4.89163,0
4632,4632,a2735,b389,Casino Games - Cleopatra Slots,Casino,Free Slots & Casino games by Huuuge,4.5,VIP Deluxe Slots Machines Free - Slot Games in HD,Casino,Super Lucky Casino Inc.,4.89163,0
4639,4639,a2745,b389,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,VIP Deluxe Slots Machines Free - Slot Games in HD,Casino,Super Lucky Casino Inc.,4.89163,0
4644,4644,a2698,b389,88 Bingo - Free Bingo Games,Board,88 Casino,4.4,VIP Deluxe Slots Machines Free - Slot Games in HD,Casino,Super Lucky Casino Inc.,4.89163,0
4647,4647,a2673,b389,Slots Casino Games God of Sky,Casino,Free Slots & Casino games by Huuuge,4.6,VIP Deluxe Slots Machines Free - Slot Games in HD,Casino,Super Lucky Casino Inc.,4.89163,0
4650,4650,a406,b389,Reversi Free - King of Games,Casual,Cross Field Inc.,4.3,VIP Deluxe Slots Machines Free - Slot Games in HD,Casino,Super Lucky Casino Inc.,4.89163,0
4657,4657,a94,b391,Bike Race Free Motorcycle Game,Racing,Top Free Games.,4.5,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4660,4660,a2455,b391,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4663,4663,a498,b391,Zsirozas - Fat card game,Card,Saj\u00f3 Games,4.2,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4664,4664,a588,b391,Hearts Card Game FREE,Card,Breakout Games,4.3,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4672,4672,a2692,b391,Okey Extra - Gin Rummy Online,Board,Digitoy Games,4.8,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4676,4676,a2782,b391,Gin Rummy Board Game - OKEY,Board,SNG Games,4.3,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4677,4677,a2826,b391,Shelter: A Survival Card Game,Board,Survivalist Games,4.2,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4678,4678,a2846,b391,Addition Flash Card Match Game,Casual,Eggroll Games,4.2,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4681,4681,a1114,b391,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,Gin Rummy Plus - Free Online Card Game,Games,Peak Games,4.46865,0
4688,4688,a610,b393,Spades Plus,Card,Peak Games,4.5,Spades Plus,Games,Peak Games,5094 Ratings,1
4689,4689,a305,b394,Roll the Ball\u2122 - slide puzzle,Puzzle,BitMango,4.4,Roll the Ball - slide puzzle,Entertainment,BitMango,4.52663,0
4744,4744,a332,b397,Word Cookies,Word,BitMango,4.6,Word Cookies!,Board,BitMango,4.6281,0
4748,4748,a2646,b400,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4749,4749,a2664,b400,Vegas Jackpot Slots Casino,Casino,Rocket Speed - Casino Slots Games,4.6,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4752,4752,a2669,b400,Jackpot Party Casino Slots 777,Casino,Scientific Games Interactive,4.4,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4753,4753,a2670,b400,Quick Hit\u2122 Free Casino Slots,Casino,Scientific Games Interactive,4.3,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4754,4754,a2673,b400,Slots Casino Games God of Sky,Casino,Free Slots & Casino games by Huuuge,4.6,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4755,4755,a2684,b400,Casino Slots,Casino,Mouse Games,4,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4757,4757,a2690,b400,OMG! Fortune Free Slots Casino,Casino,LuckyFish Games \u2013 Free Slot Machines,4.3,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4759,4759,a2712,b400,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4760,4760,a2716,b400,Slots Lucky Wolf Casino Slots,Casino,Rocket Speed - Casino Slots Games,4.4,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4763,4763,a2735,b400,Casino Games - Cleopatra Slots,Casino,Free Slots & Casino games by Huuuge,4.5,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4768,4768,a2745,b400,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4772,4772,a2809,b400,777 Slots Casino,Casino,Scientific Games Interactive (IL),4.4,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4773,4773,a2742,b400,Big Fish Casino\u2122 \u2013 Free Slots,Casino,Big Fish Games,4.3,Jackpot City Slots Free Casino Slot Tournaments,Inc,"Big Fish Games, Inc",4.57735,0
4821,4821,a2656,b402,TX Poker - Texas Holdem Poker,Card,Murka Ltd.,4.4,Live Holdem Pro Poker - Texas Holdem Card Games,Appchi Media Ltd,Appchi Media Ltd,4,0
4840,4840,a1361,b404,Big Win Football 2016,Sports,Hothead Games,4,Big Win Hockey,Sports,Hothead Games Inc.,4.16249,0
4841,4841,a1332,b404,BIG WIN Racing,Sports,Hothead Games,3.9,Big Win Hockey,Sports,Hothead Games Inc.,4.16249,0
4842,4842,a1469,b404,BIG WIN Basketball,Sports,Hothead Games,4.1,Big Win Hockey,Sports,Hothead Games Inc.,4.16249,0
4843,4843,a2646,b404,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Big Win Hockey,Sports,Hothead Games Inc.,4.16249,0
4845,4845,a619,b405,Phase 10,Card,Magmic Inc,4.2,Phase 10 Free - Play Your Friends!,Card,Magmic Inc.,2.64286,0
4846,4846,a629,b405,Phase 10 - Play Your Friends!,Card,Magmic Inc,3.6,Phase 10 Free - Play Your Friends!,Card,Magmic Inc.,2.64286,0
4879,4879,a2272,b407,Magic Jigsaw Puzzles,Puzzle,ZiMAD,4.4,Magic Jigsaw Puzzles,Entertainment,ZiMAD,4.50169,1
4882,4882,a1856,b409,Wood Block Puzzle,Puzzle,BitMango,4.5,Block! Hexa Puzzle,Board,BitMango,4.30809,0
4884,4884,a313,b409,Block! Hexa Puzzle,Puzzle,BitMango,4.5,Block! Hexa Puzzle,Board,BitMango,4.30809,1
4904,4904,a2677,b410,Texas HoldEm Poker Deluxe,Casino,IGG.COM,4.5,Texas HoldEm Poker Deluxe,Entertainment,IGG.COM,2.59091,1
4926,4926,a2741,b412,Scatter Slots: Free Fun Casino,Casino,Murka Ltd.,4.6,Buffalo Slots Free-Royal Casino Fun Slot Machines!,Dice,"Luckios Game Co., Ltd.",4.63636,0
4937,4937,a2736,b413,Wizard of Oz Free Slots Casino,Casino,Zynga,4.5,Spin It Rich! Casino Slots: Free Slot Machines,Casino,Zynga Inc.,4.51316,0
4953,4953,a676,b413,Hit it Rich! Free Casino Slots,Casino,Zynga,4.4,Spin It Rich! Casino Slots: Free Slot Machines,Casino,Zynga Inc.,4.51316,0
4960,4960,a2745,b413,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Spin It Rich! Casino Slots: Free Slot Machines,Casino,Zynga Inc.,4.51316,0
4983,4983,a2741,b415,Scatter Slots: Free Fun Casino,Casino,Murka Ltd.,4.6,Slots 777 Casino Las Vegas-Style Slot Machines,Entertainment,Appchi Media Ltd,3.41667,0
4994,4994,a611,b416,Pyramid Solitaire Saga,Card,King,4.4,Pyramid Solitaire Saga,Entertainment,King,27200 Ratings,1
4995,4995,a2764,b417,Fairway Solitaire Blast,Card,Big Fish Games,4.6,Fairway Solitaire,Inc,"Big Fish Games, Inc",4.7271,0
4996,4996,a2764,b418,Fairway Solitaire Blast,Card,Big Fish Games,4.6,Fairway Solitaire Blast,Inc,"Big Fish Games, Inc",4.71752,1
4998,4998,a2814,b419,Chess Free,Board,Optime Software,4,Chess Free,Strategy,Optime Software LLC,3.97327,1
5001,5001,a1862,b420,Unblock Me FREE,Puzzle,"Kiragames Co., Ltd.",4.3,Unroll Me - unblock the slots,Board,Turbo Chilli Pty Ltd,4.29251,0
5002,5002,a3524,b420,Unblock Me,Puzzle,"Kiragames Co., Ltd.",4.5,Unroll Me - unblock the slots,Board,Turbo Chilli Pty Ltd,4.29251,0
5009,5009,a2796,b422,Checkers Free,Board,Optime Software,4,Checkers Free,Entertainment,Optime Software LLC,3.89353,1
5019,5019,a2667,b424,Slots\u2122 Wolf FREE Slot Machines,Casino,ADDA Entertainment,4.4,Slots Era - Free Casino Slot Machines,Card,Murka Entertainment Limited,4.6819,0
5036,5036,a2741,b424,Scatter Slots: Free Fun Casino,Casino,Murka Ltd.,4.6,Slots Era - Free Casino Slot Machines,Card,Murka Entertainment Limited,4.6819,0
5049,5049,a94,b426,Bike Race Free Motorcycle Game,Racing,Top Free Games.,4.5,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5057,5057,a2455,b426,Sniper Shooter Free - Fun Game,Action,Fun Games For Free,4.5,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5061,5061,a2506,b426,Princess memory game for kids,Board,Owlet games for kids,3.8,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5065,5065,a498,b426,Zsirozas - Fat card game,Card,Saj\u00f3 Games,4.2,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5070,5070,a588,b426,Hearts Card Game FREE,Card,Breakout Games,4.3,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5077,5077,a2773,b426,All-in-One Solitaire FREE,Card,Pozirk Games Inc.,4,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5080,5080,a2826,b426,Shelter: A Survival Card Game,Board,Survivalist Games,4.2,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5083,5083,a793,b426,Battle for the Galaxy,Strategy,AMT Games,4.2,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5085,5085,a2846,b426,Addition Flash Card Match Game,Casual,Eggroll Games,4.2,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5089,5089,a993,b426,Build and Play 3D - The Sequel,Casual,Croco Studio Games,4.5,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5092,5092,a1114,b426,Peekaboo Kids - Free Kids Game,Education,Tappy Happy kids apps & games for kids,3.8,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5097,5097,a3260,b426,Trip to the zoo for kids,Educational,Kids Games Projects,4.4,Solitaire 2.0 -Play the Classic Card Game for Free,Games,Parconia Games,4.35526,0
5163,5163,a2664,b429,Vegas Jackpot Slots Casino,Casino,Rocket Speed - Casino Slots Games,4.6,SLOTS Downtown Deluxe - Free Classic Slot Casino,Entertainment,"Rocket Speed, Inc.",4.89473,0
5172,5172,a2712,b429,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,SLOTS Downtown Deluxe - Free Classic Slot Casino,Entertainment,"Rocket Speed, Inc.",4.89473,0
5173,5173,a2716,b429,Slots Lucky Wolf Casino Slots,Casino,Rocket Speed - Casino Slots Games,4.4,SLOTS Downtown Deluxe - Free Classic Slot Casino,Entertainment,"Rocket Speed, Inc.",4.89473,0
5182,5182,a2745,b429,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,SLOTS Downtown Deluxe - Free Classic Slot Casino,Entertainment,"Rocket Speed, Inc.",4.89473,0
5189,5189,a1823,b433,Two Dots,Puzzle,"Playdots, Inc.",4.4,Two Dots,Puzzle,"Playdots, Inc.",4.21982,1
5194,5194,a2646,b434,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Slots Galaxy: Free Fun Vegas Casino Slot Machines,Casino,Tap Slots Inc.,4.68586,0
5196,5196,a2664,b434,Vegas Jackpot Slots Casino,Casino,Rocket Speed - Casino Slots Games,4.6,Slots Galaxy: Free Fun Vegas Casino Slot Machines,Casino,Tap Slots Inc.,4.68586,0
5203,5203,a2712,b434,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,Slots Galaxy: Free Fun Vegas Casino Slot Machines,Casino,Tap Slots Inc.,4.68586,0
5204,5204,a2716,b434,Slots Lucky Wolf Casino Slots,Casino,Rocket Speed - Casino Slots Games,4.4,Slots Galaxy: Free Fun Vegas Casino Slot Machines,Casino,Tap Slots Inc.,4.68586,0
5206,5206,a2673,b434,Slots Casino Games God of Sky,Casino,Free Slots & Casino games by Huuuge,4.6,Slots Galaxy: Free Fun Vegas Casino Slot Machines,Casino,Tap Slots Inc.,4.68586,0
5208,5208,a2735,b434,Casino Games - Cleopatra Slots,Casino,Free Slots & Casino games by Huuuge,4.5,Slots Galaxy: Free Fun Vegas Casino Slot Machines,Casino,Tap Slots Inc.,4.68586,0
5214,5214,a2745,b434,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Slots Galaxy: Free Fun Vegas Casino Slot Machines,Casino,Tap Slots Inc.,4.68586,0
5276,5276,a2788,b442,Rolling Sky,Board,Cheetah Games,4.5,Rolling Sky,Music,Cheetah Technology Corporation Limited,4.51656,1
5279,5279,a18,b443,Word Streak-Words With Friends,Word,Zynga,4.5,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5281,5281,a30,b443,Words With Friends \u2013 Play Free,Word,Zynga,4.3,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5283,5283,a126,b443,PowerVocab Word Game,Educational,Trymph Inc.,3.9,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5321,5321,a1195,b443,Word Streak:Words With Friends,Word,Zynga,4.5,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5328,5328,a1439,b443,Hanging With Friends,Word,Zynga,4.2,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5330,5330,a1442,b443,Words With Friends Classic,Word,Zynga,4.3,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5336,5336,a1532,b443,Boggle With Friends,Word,Zynga,4.4,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5337,5337,a1559,b443,Chess With Friends Free,Board,Zynga,4.3,Words With Friends: Free Word Game - Fun for All,Word,Zynga Inc.,4.29223,0
5347,5347,a1862,b444,Unblock Me FREE,Puzzle,"Kiragames Co., Ltd.",4.3,Unblock Me FREE,Puzzle,"Kiragames Co., Ltd.",4.75386,1
5348,5348,a3524,b444,Unblock Me,Puzzle,"Kiragames Co., Ltd.",4.5,Unblock Me FREE,Puzzle,"Kiragames Co., Ltd.",4.75386,0
5350,5350,a1722,b445,Flow Free: Bridges,Puzzle,Big Duck Games LLC,4.3,Flow Free,Entertainment,Big Duck Games LLC,4.58575,0
5351,5351,a1729,b445,Flow Free: Hexes,Puzzle,Big Duck Games LLC,4.6,Flow Free,Entertainment,Big Duck Games LLC,4.58575,0
5352,5352,a306,b445,Flow Free,Puzzle,Big Duck Games LLC,4.3,Flow Free,Entertainment,Big Duck Games LLC,4.58575,1
5354,5354,a2644,b447,Slots Vacation - FREE Slots,Casino,Scopely,4.2,Slots Vacation - Free Slot Machines,Casino,Scopely,8685 Ratings,0
5379,5379,a2646,b449,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5381,5381,a2664,b449,Vegas Jackpot Slots Casino,Casino,Rocket Speed - Casino Slots Games,4.6,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5389,5389,a2712,b449,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5390,5390,a2716,b449,Slots Lucky Wolf Casino Slots,Casino,Rocket Speed - Casino Slots Games,4.4,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5392,5392,a2673,b449,Slots Casino Games God of Sky,Casino,Free Slots & Casino games by Huuuge,4.6,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5394,5394,a2735,b449,Casino Games - Cleopatra Slots,Casino,Free Slots & Casino games by Huuuge,4.5,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5400,5400,a2745,b449,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5407,5407,a2698,b449,88 Bingo - Free Bingo Games,Board,88 Casino,4.4,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5411,5411,a406,b449,Reversi Free - King of Games,Casual,Cross Field Inc.,4.3,Hot Vegas Slots Casino: Free Slot Games,Super Lucky Casino Inc.,Super Lucky Casino Inc.,4.75687,0
5415,5415,a18,b452,Word Streak-Words With Friends,Word,Zynga,4.5,Words With Friends Classic,Word,Zynga Inc.,3.13605,0
5416,5416,a1559,b452,Chess With Friends Free,Board,Zynga,4.3,Words With Friends Classic,Word,Zynga Inc.,3.13605,0
5417,5417,a30,b452,Words With Friends \u2013 Play Free,Word,Zynga,4.3,Words With Friends Classic,Word,Zynga Inc.,3.13605,0
5418,5418,a1439,b452,Hanging With Friends,Word,Zynga,4.2,Words With Friends Classic,Word,Zynga Inc.,3.13605,0
5420,5420,a1442,b452,Words With Friends Classic,Word,Zynga,4.3,Words With Friends Classic,Word,Zynga Inc.,3.13605,1
5421,5421,a1195,b452,Word Streak:Words With Friends,Word,Zynga,4.5,Words With Friends Classic,Word,Zynga Inc.,3.13605,0
5422,5422,a1532,b452,Boggle With Friends,Word,Zynga,4.4,Words With Friends Classic,Word,Zynga Inc.,3.13605,0
5448,5448,a2651,b454,Governor of Poker 3 HOLDEM,Card,Youda Games Holding B.V.,4.5,Poker Party - Texas Holdem Game,Games,Crave Games,1110 Ratings,0
5452,5452,a2658,b454,Dragonplay\u2122 Poker Texas Holdem,Card,Scientific Games Interactive (IL),4.5,Poker Party - Texas Holdem Game,Games,Crave Games,1110 Ratings,0
5454,5454,a2675,b454,Live Poker Tables\u2013Texas holdem,Casino,AbZorba Games BetriebsgmbH,4.5,Poker Party - Texas Holdem Game,Games,Crave Games,1110 Ratings,0
5455,5455,a2676,b454,Fresh Deck Poker - Live Holdem,Casino,"GSN Games, Inc.",4.3,Poker Party - Texas Holdem Game,Games,Crave Games,1110 Ratings,0
5463,5463,a670,b454,TEXAS HOLDEM POKER OFFLINE,Casino,Youda Games Holding B.V.,4.2,Poker Party - Texas Holdem Game,Games,Crave Games,1110 Ratings,0
5490,5490,a2745,b455,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,Casino Frenzy - Free Slots and Video Poker,Casino,Felix Lab Inc.,4.51382,0
5504,5504,a447,b457,Plants vs. Zombies\u2122 2,Casual,ELECTRONIC ARTS,4.4,Plants vs. Zombies Heroes,Card,Electronic Arts,4.34148,0
5505,5505,a2294,b457,Plants vs. Zombies\u2122,Casual,ELECTRONIC ARTS,4,Plants vs. Zombies Heroes,Card,Electronic Arts,4.34148,0
5507,5507,a3709,b457,Plants vs. Zombies\u2122 Heroes,Casual,ELECTRONIC ARTS,4.4,Plants vs. Zombies Heroes,Card,Electronic Arts,4.34148,0
5509,5509,a2613,b459,Roulette - Casino Style!,Casino,RNF Technologies Pvt Ltd,4,Roulette - Casino Style,Casino,Rnf Technologies,4.84127,0
5542,5542,a613,b465,Yu-Gi-Oh! Duel Generation,Card,"Konami Digital Entertainment, Inc.",4.3,Yu-Gi-Oh! Duel Links,Entertainment,KONAMI,4.78355,0
5548,5548,a2705,b470,Bingo Rush 2,Casino,Playtika Santa Monica,4.2,Bingo Rush by Buffalo Studios,Arcade,"Playtika Santa Monica, LLC",3.65583,0
5560,5560,a2717,b471,myVEGAS Slots - Free Casino,Casino,PlayStudios,4.4,POP! Slots - Play Free Vegas Slots,Entertainment,PlayStudios,4.49206,0
5572,5572,a47,b472,Heroes of War: Orcs vs Knights,Strategy,NEXON M Inc.,4,Hearthstone: Heroes of Warcraft,Entertainment,"Blizzard Entertainment, Inc.",3.65922,0
5574,5574,a653,b472,Call of Duty\u00ae: Heroes,Action,"Activision Publishing, Inc.",4.4,Hearthstone: Heroes of Warcraft,Entertainment,"Blizzard Entertainment, Inc.",3.65922,0
5582,5582,a3550,b472,Epic Heroes of Knowledge,Educational,"Yogome, Inc.",4.5,Hearthstone: Heroes of Warcraft,Entertainment,"Blizzard Entertainment, Inc.",3.65922,0
5584,5584,a2647,b474,The Price is Right\u2122 Slots,Casino,Ludia Inc.,4.2,The Price is Right Bingo,Arcade,Ludia,4.24347,0
5585,5585,a2723,b474,The Price Is Right\u2122 Bingo,Casino,Ludia Inc.,4.2,The Price is Right Bingo,Arcade,Ludia,4.24347,0
5591,5591,a2646,b475,Slots Free - Big Win Casino\u2122,Casino,FiveStar Games - Slots and Casino,4.3,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5593,5593,a2664,b475,Vegas Jackpot Slots Casino,Casino,Rocket Speed - Casino Slots Games,4.6,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5602,5602,a2712,b475,Slots Lost Treasure Slot Games,Casino,Rocket Speed - Casino Slots Games,4.4,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5603,5603,a2716,b475,Slots Lucky Wolf Casino Slots,Casino,Rocket Speed - Casino Slots Games,4.4,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5605,5605,a2673,b475,Slots Casino Games God of Sky,Casino,Free Slots & Casino games by Huuuge,4.6,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5607,5607,a2735,b475,Casino Games - Cleopatra Slots,Casino,Free Slots & Casino games by Huuuge,4.5,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5613,5613,a2745,b475,GSN Casino: Free Slot Machines,Casino,"GSN Games, Inc.",4.3,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5620,5620,a2698,b475,88 Bingo - Free Bingo Games,Board,88 Casino,4.4,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5624,5624,a406,b475,Reversi Free - King of Games,Casual,Cross Field Inc.,4.3,DoubleUp Slots Casino: Free Slot Games Offline,Casino,Super Lucky Casino Inc.,4.7807,0
5654,5654,a2737,b477,Caesars Slot Machines & Games,Casino,Playtika,4.4,Vegas Downtown Slots - Casino Slot Machines Games,Playtika LTD,Playtika LTD,4.77128,0
5673,5673,a2741,b477,Scatter Slots: Free Fun Casino,Casino,Murka Ltd.,4.6,Vegas Downtown Slots - Casino Slot Machines Games,Playtika LTD,Playtika LTD,4.77128,0
5677,5677,a1497,b479,Heads Up!,Word,Warner Bros. International Enterprises,4.1,Heads Up!,Entertainment,Warner Bros.,4.62564,1
5682,5682,a2769,b480,Solitaire classic card game,Card,Brilliant Labs Limited,4.3,Evil Apples: A Filthy Adult Card &amp; Party Game,Word,Evil Studios Limited,4.70507,0
